                                     Moon                                     
     
            Topocentric Physical Ephemeris: Illumination Parameters           
     
                         David Rittenhouse Laboratory                         
                Location:  W 75°11'20.4", N39°57'08.1",    12m                
                  (Longitude referred to Greenwich meridian)                  
     
   Date        Time             Phase     Fraction                       Semi-
         (UT1)                  Angle    Illuminated    Parallax       diameter
             h  m   s             °                      '   "          '   "
2014 Jun 28 22:30:00.0         161.86       0.025       46 56.88       14 53.09
2014 Jun 28 22:35:00.0         161.83       0.025       47 23.02       14 52.88
2014 Jun 28 22:40:00.0         161.79       0.025       47 48.40       14 52.66
2014 Jun 28 22:45:00.0         161.76       0.025       48 13.02       14 52.45
2014 Jun 28 22:50:00.0         161.73       0.025       48 36.86       14 52.23
2014 Jun 28 22:55:00.0         161.69       0.025       48 59.91       14 52.01
2014 Jun 28 23:00:00.0         161.66       0.025       49 22.16       14 51.79
2014 Jun 28 23:05:00.0         161.62       0.025       49 43.61       14 51.56
2014 Jun 28 23:10:00.0         161.59       0.026       50 04.24       14 51.34
2014 Jun 28 23:15:00.0         161.56       0.026       50 24.04       14 51.12
2014 Jun 28 23:20:00.0         161.52       0.026       50 43.02       14 50.89
2014 Jun 28 23:25:00.0         161.48       0.026       51 01.16       14 50.66
2014 Jun 28 23:30:00.0         161.45       0.026       51 18.45       14 50.44
2014 Jun 28 23:35:00.0         161.41       0.026       51 34.90       14 50.21
2014 Jun 28 23:40:00.0         161.38       0.026       51 50.50       14 49.98
2014 Jun 28 23:45:00.0         161.34       0.026       52 05.25       14 49.75
2014 Jun 28 23:50:00.0         161.30       0.026       52 19.15       14 49.52
2014 Jun 28 23:55:00.0         161.27       0.026       52 32.19       14 49.29
2014 Jun 29 00:00:00.0         161.23       0.027       52 44.38       14 49.05
2014 Jun 29 00:05:00.0         161.19       0.027       52 55.71       14 48.82
2014 Jun 29 00:10:00.0         161.15       0.027       53 06.19       14 48.59
2014 Jun 29 00:15:00.0         161.11       0.027       53 15.82       14 48.36
2014 Jun 29 00:20:00.0         161.08       0.027       53 24.60       14 48.13
2014 Jun 29 00:25:00.0         161.04       0.027       53 32.53       14 47.90
2014 Jun 29 00:30:00.0         161.00       0.027       53 39.63       14 47.66
2014 Jun 29 00:35:00.0         160.96       0.027       53 45.89       14 47.43
2014 Jun 29 00:40:00.0         160.92       0.027       53 51.32       14 47.20
2014 Jun 29 00:45:00.0         160.88       0.028       53 55.93       14 46.97
2014 Jun 29 00:50:00.0         160.84       0.028       53 59.72       14 46.74
2014 Jun 29 00:55:00.0         160.80       0.028       54 02.71       14 46.52
2014 Jun 29 01:00:00.0         160.76       0.028       54 04.89       14 46.29
2014 Jun 29 01:05:00.0         160.72       0.028       54 06.29       14 46.06
2014 Jun 29 01:10:00.0         160.68       0.028       54 06.91       14 45.84
2014 Jun 29 01:15:00.0         160.63       0.028       54 06.76       14 45.61
2014 Jun 29 01:20:00.0         160.59       0.028       54 05.85       14 45.39
2014 Jun 29 01:25:00.0         160.55       0.029       54 04.20       14 45.17
2014 Jun 29 01:30:00.0         160.51       0.029       54 01.82       14 44.95
2014 Jun 29 01:35:00.0         160.47       0.029       53 58.72       14 44.73
2014 Jun 29 01:40:00.0         160.42       0.029       53 54.92       14 44.51
2014 Jun 29 01:45:00.0         160.38       0.029       53 50.44       14 44.29
2014 Jun 29 01:50:00.0         160.34       0.029       53 45.28       14 44.08
2014 Jun 29 01:55:00.0         160.29       0.029       53 39.47       14 43.87
2014 Jun 29 02:00:00.0         160.25       0.029       53 33.03       14 43.66
2014 Jun 29 02:05:00.0         160.21       0.030       53 25.97       14 43.45
2014 Jun 29 02:10:00.0         160.16       0.030       53 18.31       14 43.24
2014 Jun 29 02:15:00.0         160.12       0.030       53 10.07       14 43.04
2014 Jun 29 02:20:00.0         160.07       0.030       53 01.27       14 42.84
2014 Jun 29 02:25:00.0         160.03       0.030       52 51.94       14 42.64
2014 Jun 29 02:30:00.0         159.98       0.030       52 42.09       14 42.44
2014 Jun 29 02:35:00.0         159.94       0.030       52 31.75       14 42.25
2014 Jun 29 02:40:00.0         159.89       0.030       52 20.94       14 42.06
2014 Jun 29 02:45:00.0         159.85       0.031       52 09.69       14 41.87
2014 Jun 29 02:50:00.0         159.80       0.031       51 58.02       14 41.68
2014 Jun 29 02:55:00.0         159.75       0.031       51 45.95       14 41.50
2014 Jun 29 03:00:00.0         159.71       0.031       51 33.52       14 41.32
2014 Jun 29 03:05:00.0         159.66       0.031       51 20.74       14 41.14
2014 Jun 29 03:10:00.0         159.61       0.031       51 07.65       14 40.96
2014 Jun 29 03:15:00.0         159.57       0.031       50 54.28       14 40.79
2014 Jun 29 03:20:00.0         159.52       0.032       50 40.65       14 40.62
2014 Jun 29 03:25:00.0         159.47       0.032       50 26.79       14 40.46
2014 Jun 29 03:30:00.0         159.43       0.032       50 12.73       14 40.30
2014 Jun 29 03:35:00.0         159.38       0.032       49 58.51       14 40.14
2014 Jun 29 03:40:00.0         159.33       0.032       49 44.15       14 39.98
2014 Jun 29 03:45:00.0         159.28       0.032       49 29.68       14 39.83
2014 Jun 29 03:50:00.0         159.23       0.032       49 15.15       14 39.68
2014 Jun 29 03:55:00.0         159.19       0.033       49 00.57       14 39.54
2014 Jun 29 04:00:00.0         159.14       0.033       48 45.98       14 39.40
2014 Jun 29 04:05:00.0         159.09       0.033       48 31.42       14 39.26
2014 Jun 29 04:10:00.0         159.04       0.033       48 16.91       14 39.13
2014 Jun 29 04:15:00.0         158.99       0.033       48 02.50       14 39.00
2014 Jun 29 04:20:00.0         158.94       0.033       47 48.21       14 38.87
2014 Jun 29 04:25:00.0         158.89       0.034       47 34.08       14 38.75
2014 Jun 29 04:30:00.0         158.84       0.034       47 20.14       14 38.63
2014 Jun 29 04:35:00.0         158.80       0.034       47 06.43       14 38.52
2014 Jun 29 04:40:00.0         158.75       0.034       46 52.98       14 38.41
2014 Jun 29 04:45:00.0         158.70       0.034       46 39.81       14 38.30
2014 Jun 29 04:50:00.0         158.65       0.034       46 26.97       14 38.20
2014 Jun 29 04:55:00.0         158.60       0.034       46 14.49       14 38.10
2014 Jun 29 05:00:00.0         158.55       0.035       46 02.40       14 38.01
2014 Jun 29 05:05:00.0         158.50       0.035       45 50.72       14 37.92
2014 Jun 29 05:10:00.0         158.45       0.035       45 39.50       14 37.83
2014 Jun 29 05:15:00.0         158.40       0.035       45 28.75       14 37.75
2014 Jun 29 05:20:00.0         158.35       0.035       45 18.52       14 37.68
2014 Jun 29 05:25:00.0         158.30       0.035       45 08.82       14 37.60
2014 Jun 29 05:30:00.0         158.25       0.036       44 59.68       14 37.54
2014 Jun 29 05:35:00.0         158.20       0.036       44 51.12       14 37.47
2014 Jun 29 05:40:00.0         158.15       0.036       44 43.18       14 37.41
2014 Jun 29 05:45:00.0         158.10       0.036       44 35.87       14 37.36
2014 Jun 29 05:50:00.0         158.05       0.036       44 29.22       14 37.31
