                                    Sun                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                       David Rittenhouse Laboratory                       
              Location:  W 75°11'20.4", N39°57'08.1",    12m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 AU
2014 Jun 29 06:55:00.0     111.74765        27.38645       1.016636742
2014 Jun 29 07:00:00.0     111.29870        28.52285       1.016636522
2014 Jun 29 07:05:00.0     110.83313        29.64799       1.016636290
2014 Jun 29 07:10:00.0     110.35129        30.76174       1.016636045
2014 Jun 29 07:15:00.0     109.85353        31.86396       1.016635788
2014 Jun 29 07:20:00.0     109.34020        32.95458       1.016635519
2014 Jun 29 07:25:00.0     108.81165        34.03354       1.016635238
2014 Jun 29 07:30:00.0     108.26822        35.10078       1.016634945
2014 Jun 29 07:35:00.0     107.71027        36.15630       1.016634641
2014 Jun 29 07:40:00.0     107.13815        37.20012       1.016634325
2014 Jun 29 07:45:00.0     106.55220        38.23226       1.016633998
2014 Jun 29 07:50:00.0     105.95277        39.25277       1.016633660
2014 Jun 29 07:55:00.0     105.34020        40.26172       1.016633311
2014 Jun 29 08:00:00.0     104.71483        41.25922       1.016632952
2014 Jun 29 08:05:00.0     104.07699        42.24535       1.016632582
2014 Jun 29 08:10:00.0     103.42700        43.22026       1.016632202
2014 Jun 29 08:15:00.0     102.76521        44.18406       1.016631812
2014 Jun 29 08:20:00.0     102.09192        45.13693       1.016631412
2014 Jun 29 08:25:00.0     101.40745        46.07902       1.016631003
2014 Jun 29 08:30:00.0     100.71212        47.01050       1.016630585
2014 Jun 29 08:35:00.0     100.00622        47.93157       1.016630158
2014 Jun 29 08:40:00.0      99.29006        48.84242       1.016629722
2014 Jun 29 08:45:00.0      98.56392        49.74326       1.016629277
2014 Jun 29 08:50:00.0      97.82811        50.63430       1.016628824
2014 Jun 29 08:55:00.0      97.08289        51.51576       1.016628364
2014 Jun 29 09:00:00.0      96.32855        52.38788       1.016627895
2014 Jun 29 09:05:00.0      95.56535        53.25089       1.016627419
2014 Jun 29 09:10:00.0      94.79356        54.10503       1.016626936
2014 Jun 29 09:15:00.0      94.01344        54.95054       1.016626446
2014 Jun 29 09:20:00.0      93.22523        55.78768       1.016625949
2014 Jun 29 09:25:00.0      92.42919        56.61670       1.016625446
2014 Jun 29 09:30:00.0      91.62556        57.43786       1.016624937
