                                    Sun                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                         Cherry Springs State Park                        
              Location:  W 77°48'45.0", N41°39'52.6",   710m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 AU
2014 Jun 29 08:10:00.0     103.48571        40.87817       1.016632249
2014 Jun 29 08:15:00.0     102.86872        41.87315       1.016631891
2014 Jun 29 08:20:00.0     102.23971        42.85771       1.016631524
2014 Jun 29 08:25:00.0     101.59901        43.83198       1.016631147
2014 Jun 29 08:30:00.0     100.94690        44.79609       1.016630761
2014 Jun 29 08:35:00.0     100.28371        45.75018       1.016630365
2014 Jun 29 08:40:00.0      99.60972        46.69441       1.016629960
2014 Jun 29 08:45:00.0      98.92524        47.62895       1.016629547
2014 Jun 29 08:50:00.0      98.23053        48.55398       1.016629125
2014 Jun 29 08:55:00.0      97.52590        49.46967       1.016628695
2014 Jun 29 09:00:00.0      96.81162        50.37623       1.016628256
2014 Jun 29 09:05:00.0      96.08797        51.27387       1.016627810
2014 Jun 29 09:10:00.0      95.35520        52.16278       1.016627356
2014 Jun 29 09:15:00.0      94.61359        53.04320       1.016626895
2014 Jun 29 09:20:00.0      93.86339        53.91534       1.016626427
2014 Jun 29 09:25:00.0      93.10486        54.77944       1.016625952
2014 Jun 29 09:30:00.0      92.33825        55.63573       1.016625471
