                                   Moon                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                       David Rittenhouse Laboratory                       
              Location:  W 75°11'20.4", N39°57'08.1",    12m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 km
2014 Jun 29 03:15:00.0     109.66807       311.31409        406867.254
2014 Jun 29 03:20:00.0     110.36260       312.30215        406945.068
2014 Jun 29 03:25:00.0     111.04628       313.30298        407021.423
2014 Jun 29 03:30:00.0     111.71877       314.31686        407096.287
2014 Jun 29 03:35:00.0     112.37972       315.34400        407169.632
2014 Jun 29 03:40:00.0     113.02878       316.38463        407241.427
2014 Jun 29 03:45:00.0     113.66559       317.43896        407311.642
2014 Jun 29 03:50:00.0     114.28977       318.50717        407380.250
2014 Jun 29 03:55:00.0     114.90095       319.58944        407447.222
2014 Jun 29 04:00:00.0     115.49874       320.68590        407512.532
2014 Jun 29 04:05:00.0     116.08277       321.79669        407576.153
2014 Jun 29 04:10:00.0     116.65265       322.92190        407638.060
2014 Jun 29 04:15:00.0     117.20796       324.06160        407698.228
2014 Jun 29 04:20:00.0     117.74833       325.21583        407756.633
2014 Jun 29 04:25:00.0     118.27334       326.38461        407813.251
2014 Jun 29 04:30:00.0     118.78260       327.56790        407868.061
2014 Jun 29 04:35:00.0     119.27569       328.76566        407921.039
2014 Jun 29 04:40:00.0     119.75222       329.97779        407972.167
2014 Jun 29 04:45:00.0     120.21178       331.20415        408021.422
2014 Jun 29 04:50:00.0     120.65397       332.44457        408068.787
2014 Jun 29 04:55:00.0     121.07839       333.69883        408114.243
2014 Jun 29 05:00:00.0     121.48465       334.96668        408157.771
2014 Jun 29 05:05:00.0     121.87238       336.24780        408199.355
2014 Jun 29 05:10:00.0     122.24117       337.54185        408238.980
2014 Jun 29 05:15:00.0     122.59068       338.84844        408276.629
2014 Jun 29 05:20:00.0     122.92054       340.16710        408312.290
2014 Jun 29 05:25:00.0     123.23039       341.49736        408345.947
2014 Jun 29 05:30:00.0     123.51992       342.83868        408377.590
2014 Jun 29 05:35:00.0     123.78881       344.19048        408407.205
