                                   Moon                                   
     
                      Apparent Topocentric Positions                      
                        Local Zenith and True North                       
     
                         Cherry Springs State Park                        
              Location:  W 77°48'45.0", N41°39'52.6",   710m              
                (Longitude referred to Greenwich meridian)                
     
   Date        Time          Zenith          Azimuth         Distance
        (UT1)               Distance        (E of N)        to Object
             h  m   s         °               °                 km
2014 Jun 28 20:20:00.0      36.14334       233.57894        399169.560
2014 Jun 28 20:25:00.0      36.89327       235.10262        399224.034
2014 Jun 28 20:30:00.0      37.65679       236.58068        399280.285
2014 Jun 28 20:35:00.0      38.43296       238.01521        399338.287
2014 Jun 28 20:40:00.0      39.22095       239.40826        399398.019
2014 Jun 28 20:45:00.0      40.01994       240.76184        399459.454
2014 Jun 28 20:50:00.0      40.82920       242.07791        399522.568
2014 Jun 28 20:55:00.0      41.64799       243.35835        399587.335
2014 Jun 28 21:00:00.0      42.47567       244.60500        399653.727
2014 Jun 28 21:05:00.0      43.31161       245.81959        399721.717
2014 Jun 28 21:10:00.0      44.15522       247.00383        399791.276
2014 Jun 28 21:15:00.0      45.00596       248.15931        399862.376
2014 Jun 28 21:20:00.0      45.86330       249.28759        399934.986
2014 Jun 28 21:25:00.0      46.72676       250.39013        400009.076
2014 Jun 28 21:30:00.0      47.59588       251.46834        400084.615
2014 Jun 28 21:35:00.0      48.47022       252.52356        400161.571
2014 Jun 28 21:40:00.0      49.34938       253.55707        400239.912
2014 Jun 28 21:45:00.0      50.23298       254.57009        400319.605
2014 Jun 28 21:50:00.0      51.12065       255.56377        400400.615
2014 Jun 28 21:55:00.0      52.01204       256.53922        400482.909
2014 Jun 28 22:00:00.0      52.90683       257.49749        400566.452
2014 Jun 28 22:05:00.0      53.80470       258.43958        400651.209
2014 Jun 28 22:10:00.0      54.70537       259.36646        400737.143
2014 Jun 28 22:15:00.0      55.60854       260.27901        400824.218
2014 Jun 28 22:20:00.0      56.51396       261.17813        400912.397
2014 Jun 28 22:25:00.0      57.42135       262.06463        401001.643
2014 Jun 28 22:30:00.0      58.33049       262.93931        401091.918
2014 Jun 28 22:35:00.0      59.24112       263.80292        401183.183
2014 Jun 28 22:40:00.0      60.15303       264.65619        401275.400
2014 Jun 28 22:45:00.0      61.06600       265.49981        401368.530
2014 Jun 28 22:50:00.0      61.97981       266.33444        401462.532
2014 Jun 28 22:55:00.0      62.89426       267.16073        401557.368
2014 Jun 28 23:00:00.0      63.80916       267.97928        401652.996
2014 Jun 28 23:05:00.0      64.72432       268.79069        401749.376
2014 Jun 28 23:10:00.0      65.63954       269.59551        401846.467
2014 Jun 28 23:15:00.0      66.55464       270.39430        401944.227
2014 Jun 28 23:20:00.0      67.46946       271.18758        402042.616
2014 Jun 28 23:25:00.0      68.38381       271.97586        402141.592
2014 Jun 28 23:30:00.0      69.29753       272.75963        402241.111
2014 Jun 28 23:35:00.0      70.21045       273.53937        402341.132
2014 Jun 28 23:40:00.0      71.12240       274.31554        402441.613
2014 Jun 28 23:45:00.0      72.03323       275.08859        402542.511
2014 Jun 28 23:50:00.0      72.94277       275.85895        402643.783
2014 Jun 28 23:55:00.0      73.85087       276.62704        402745.385
2014 Jun 29 00:00:00.0      74.75736       277.39329        402847.276
2014 Jun 29 00:05:00.0      75.66209       278.15810        402949.411
2014 Jun 29 00:10:00.0      76.56490       278.92185        403051.748
2014 Jun 29 00:15:00.0      77.46565       279.68494        403154.242
2014 Jun 29 00:20:00.0      78.36416       280.44775        403256.851
2014 Jun 29 00:25:00.0      79.26029       281.21065        403359.531
2014 Jun 29 00:30:00.0      80.15388       281.97399        403462.239
2014 Jun 29 00:35:00.0      81.04478       282.73815        403564.931
2014 Jun 29 00:40:00.0      81.93281       283.50348        403667.564
2014 Jun 29 00:45:00.0      82.81783       284.27033        403770.095
2014 Jun 29 00:50:00.0      83.69968       285.03903        403872.479
2014 Jun 29 00:55:00.0      84.57818       285.80994        403974.675
2014 Jun 29 01:00:00.0      85.45318       286.58339        404076.638
2014 Jun 29 01:05:00.0      86.32450       287.35971        404178.327
2014 Jun 29 01:10:00.0      87.19199       288.13925        404279.697
2014 Jun 29 01:15:00.0      88.05545       288.92231        404380.707
2014 Jun 29 01:20:00.0      88.91473       289.70925        404481.314
2014 Jun 29 01:25:00.0      89.76965       290.50037        404581.476
2014 Jun 29 01:30:00.0      90.62001       291.29600        404681.150
2014 Jun 29 01:35:00.0      91.46564       292.09646        404780.296
2014 Jun 29 01:40:00.0      92.30634       292.90208        404878.870
2014 Jun 29 01:45:00.0      93.14193       293.71317        404976.833
2014 Jun 29 01:50:00.0      93.97221       294.53005        405074.142
2014 Jun 29 01:55:00.0      94.79697       295.35304        405170.758
2014 Jun 29 02:00:00.0      95.61602       296.18245        405266.640
